step,train_loss,val_loss,lr,wall_dt_s,wall_cum_s,tokens_step,tokens_cum,h_mean,hY_mean,xi_mean,rX,rP,c_log_mean,c_lin_mean,leak_warnings,sched_t_start,sched_t_end
3800,2.886217,,2.45608131e-04,264.184888,5059.782257,49152,186826752,0.0,,0.0,0.0,0.0,,,,,
3800,,2.841150,2.45608131e-04,,5059.782257,49152,186826752,0.0,,0.0,0.0,0.0,,,,,
3900,,2.794744,2.42954472e-04,,5192.015174,49152,191741952,0.0,,0.0,0.0,0.0,,,,,
4000,2.818839,,2.40267299e-04,264.953396,5324.735653,49152,196657152,0.0,,0.0,0.0,0.0,,,,,
4000,,2.846652,2.40267299e-04,,5324.735653,49152,196657152,0.0,,0.0,0.0,0.0,,,,,
4100,,2.789667,2.37549346e-04,,5457.085736,49152,201572352,0.0,,0.0,0.0,0.0,,,,,
4200,2.822296,,2.34803377e-04,265.251438,5589.987092,49152,206487552,0.0,,0.0,0.0,0.0,,,,,
4200,,2.834369,2.34803377e-04,,5589.987092,49152,206487552,0.0,,0.0,0.0,0.0,,,,,
4300,,2.731956,2.32032183e-04,,5722.701015,49152,211402752,0.0,,0.0,0.0,0.0,,,,,
4400,2.758810,,2.29238584e-04,265.553585,5855.540677,49152,216317952,0.0,,0.0,0.0,0.0,,,,,
4400,,2.780355,2.29238584e-04,,5855.540677,49152,216317952,0.0,,0.0,0.0,0.0,,,,,
4500,,2.760962,2.26425420e-04,,5988.246850,49152,221233152,0.0,,0.0,0.0,0.0,,,,,
4600,2.738846,,2.23595552e-04,265.059204,6120.599881,49152,226148352,0.0,,0.0,0.0,0.0,,,,,
4600,,2.744869,2.23595552e-04,,6120.599881,49152,226148352,0.0,,0.0,0.0,0.0,,,,,
4700,,2.753475,2.20751858e-04,,6253.274035,49152,231063552,0.0,,0.0,0.0,0.0,,,,,
4800,2.746775,,2.17897230e-04,264.729039,6385.328920,49152,235978752,0.0,,0.0,0.0,0.0,,,,,
4800,,2.697318,2.17897230e-04,,6385.328920,49152,235978752,0.0,,0.0,0.0,0.0,,,,,
4900,,2.747571,2.15034570e-04,,6517.784709,49152,240893952,0.0,,0.0,0.0,0.0,,,,,
